,action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id,uniprotID
53,INHIBITOR,Histone deacetylase 1 inhibitor,CHEMBL98,CHEMBL325,Q13547
54,INHIBITOR,Pancreatic lipase inhibitor,CHEMBL175247,CHEMBL1812,P16233
55,INHIBITOR,Inosine-5'-monophosphate dehydrogenase 1 inhibitor,CHEMBL1643,CHEMBL1822,P20839
56,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,CHEMBL1201179,CHEMBL1824,P04626
57,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200491,CHEMBL231,P35367
58,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200618,CHEMBL231,P35367
59,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1716,CHEMBL231,P35367
60,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200638,CHEMBL231,P35367
61,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200750,CHEMBL231,P35367
62,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200809,CHEMBL231,P35367
63,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200961,CHEMBL231,P35367
64,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201006,CHEMBL231,P35367
65,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1607273,CHEMBL231,P35367
66,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1719,CHEMBL231,P35367
67,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200927,CHEMBL231,P35367
68,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL998,CHEMBL231,P35367
69,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1659,CHEMBL231,P35367
70,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200795,CHEMBL231,P35367
71,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1237102,CHEMBL231,P35367
72,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1224,CHEMBL231,P35367
73,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1172,CHEMBL231,P35367
74,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1620,CHEMBL231,P35367
75,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1653,CHEMBL231,P35367
76,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200446,CHEMBL231,P35367
77,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200550,CHEMBL231,P35367
78,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201190,CHEMBL231,P35367
79,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1633,CHEMBL231,P35367
80,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200406,CHEMBL231,P35367
81,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1201023,CHEMBL231,P35367
82,ANTAGONIST,Histamine H1 receptor antagonist,CHEMBL1200395,CHEMBL231,P35367
83,AGONIST,Histamine H1 receptor agonist,CHEMBL1689,CHEMBL231,P35367
84,INHIBITOR,Phosphodiesterase 5A inhibitor,CHEMBL779,CHEMBL1827,O76074
85,INHIBITOR,Phosphodiesterase 5A inhibitor,CHEMBL1339,CHEMBL1827,O76074
86,INHIBITOR,Phosphodiesterase 5A inhibitor,CHEMBL1737,CHEMBL1827,O76074
87,INHIBITOR,Histone deacetylase 3 inhibitor,CHEMBL98,CHEMBL1829,O15379
88,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL567,CHEMBL217,P14416
89,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL728,CHEMBL217,P14416
90,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1448187,CHEMBL217,P14416
91,AGONIST,Dopamine D2 receptor agonist,CHEMBL1201087,CHEMBL217,P14416
92,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1314751,CHEMBL217,P14416
93,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL908,CHEMBL217,P14416
94,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1201102,CHEMBL217,P14416
95,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL3544974,CHEMBL217,P14416
96,PARTIAL AGONIST,Dopamine D2 receptor partial agonist,CHEMBL1112,CHEMBL217,P14416
97,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL14376,CHEMBL217,P14416
98,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1621,CHEMBL217,P14416
99,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL1201,CHEMBL217,P14416
100,ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL570,CHEMBL217,P14416
101,ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL995,CHEMBL227,P30556
102,ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1513,CHEMBL227,P30556
103,ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1069,CHEMBL227,P30556
104,ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1200692,CHEMBL227,P30556
105,ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1014,CHEMBL227,P30556
106,ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1017,CHEMBL227,P30556
107,PARTIAL AGONIST,Serotonin 2b (5-HT2b) receptor partial agonist,CHEMBL1200843,CHEMBL1833,P41595
108,INHIBITOR,Thyroid peroxidase inhibitor,CHEMBL1515,CHEMBL1839,P07202
109,INHIBITOR,Thyroid peroxidase inhibitor,CHEMBL1518,CHEMBL1839,P07202
110,INHIBITOR,DOPA decarboxylase inhibitor,CHEMBL1200748,CHEMBL1843,P20711
111,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,CHEMBL1567,CHEMBL1844,P07333
112,ANTAGONIST,Alpha-1a adrenergic receptor antagonist,CHEMBL24778,CHEMBL229,P35348
113,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL1079742,CHEMBL203,P00533
114,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL939,CHEMBL203,P00533
115,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,CHEMBL1201179,CHEMBL203,P00533
116,AGONIST,Dopamine D3 receptor agonist,CHEMBL1009,CHEMBL234,P35462
117,ANTAGONIST,Dopamine D3 receptor antagonist,CHEMBL908,CHEMBL234,P35462
118,ANTAGONIST,Ryanodine receptor 1 antagonist,CHEMBL928,CHEMBL1846,P21817
119,INHIBITOR,Enoyl-[acyl-carrier-protein] reductase inhibitor,CHEMBL64,CHEMBL1849,P9WGR1
120,INHIBITOR,Enoyl-[acyl-carrier-protein] reductase inhibitor,CHEMBL1441,CHEMBL1849,P9WGR1
121,INHIBITOR,Steroid 5-alpha-reductase 2 inhibitor,CHEMBL710,CHEMBL1856,P31213
122,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL93,CHEMBL215,P09917
123,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL1562610,CHEMBL215,P09917
124,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,CHEMBL704,CHEMBL215,P09917
125,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200906,CHEMBL216,P11229
126,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200347,CHEMBL216,P11229
127,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1240,CHEMBL216,P11229
128,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1724,CHEMBL216,P11229
129,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1092,CHEMBL216,P11229
130,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200479,CHEMBL216,P11229
131,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL517712,CHEMBL216,P11229
132,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1529,CHEMBL216,P11229
133,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200426,CHEMBL216,P11229
134,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200970,CHEMBL216,P11229
135,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200383,CHEMBL216,P11229
136,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1201027,CHEMBL216,P11229
137,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,CHEMBL1200891,CHEMBL216,P11229
138,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL1421,CHEMBL1862,P00519
139,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL288441,CHEMBL1862,P00519
140,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL1946170,CHEMBL1862,P00519
141,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,CHEMBL1642,CHEMBL1862,P00519
142,INHIBITOR,Histone deacetylase 6 inhibitor,CHEMBL98,CHEMBL1865,Q9UBN7
143,ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL24,CHEMBL213,P08588
144,PARTIAL AGONIST,Beta-1 adrenergic receptor partial agonist,CHEMBL500,CHEMBL213,P08588
145,AGONIST,Beta-1 adrenergic receptor agonist,CHEMBL1200418,CHEMBL213,P08588
146,AGONIST,Beta-1 adrenergic receptor agonist,CHEMBL1557,CHEMBL213,P08588
147,ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL649,CHEMBL213,P08588
148,ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1671,CHEMBL213,P08588
149,ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1700,CHEMBL213,P08588
150,ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1691,CHEMBL213,P08588
151,ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL2062335,CHEMBL213,P08588
152,ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL1201063,CHEMBL213,P08588
153,ANTAGONIST,Beta-1 adrenergic receptor antagonist,CHEMBL499,CHEMBL213,P08588
154,AGONIST,Sigma opioid receptor agonist,CHEMBL1256818,CHEMBL287,Q99720
155,INHIBITOR,Tissue-type plasminogen activator inhibitor,CHEMBL1046,CHEMBL1873,P00750
156,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,CHEMBL1072,CHEMBL1874,Q13621
157,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,CHEMBL456,CHEMBL1874,Q13621
158,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,CHEMBL1148,CHEMBL1874,Q13621
159,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,CHEMBL35,CHEMBL1874,Q13621
160,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL406,CHEMBL1876,P55017
161,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL878,CHEMBL1876,P55017
162,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL61593,CHEMBL1876,P55017
163,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL1201039,CHEMBL1876,P55017
164,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL1532,CHEMBL1876,P55017
165,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL1577,CHEMBL1876,P55017
166,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL435,CHEMBL1876,P55017
167,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL1763,CHEMBL1876,P55017
168,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL1054,CHEMBL1876,P55017
169,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,CHEMBL1055,CHEMBL1876,P55017
170,INHIBITOR,Arabinosyltransferase A inhibitor,CHEMBL3140361,CHEMBL1877,P9WNL9
171,POSITIVE ALLOSTERIC MODULATOR,Calcium sensing receptor positive allosteric modulator,CHEMBL1200776,CHEMBL1878,P41180
172,AGONIST,Prostanoid EP2 receptor agonist,CHEMBL495,CHEMBL1881,P43116
173,AGONIST,Nicotinic acetylcholine receptor alpha subunit agonist,CHEMBL1770,CHEMBL1884,O96760
174,OPENER,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener",CHEMBL181,CHEMBL1886,Q14654
175,AGONIST,Serotonin 1b (5-HT1b) receptor agonist,CHEMBL1185,CHEMBL1898,P28222
176,AGONIST,Serotonin 1b (5-HT1b) receptor agonist,CHEMBL128,CHEMBL1898,P28222
177,AGONIST,Serotonin 1b (5-HT1b) receptor agonist,CHEMBL1201150,CHEMBL1898,P28222
178,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,CHEMBL46,CHEMBL1899,P46098
179,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,CHEMBL289469,CHEMBL1899,P46098
180,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,CHEMBL1720,CHEMBL1899,P46098
181,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,CHEMBL1200885,CHEMBL1899,P46098
182,INHIBITOR,FK506-binding protein 1A inhibitor,CHEMBL1201182,CHEMBL1902,P62942
183,INHIBITOR,FK506-binding protein 1A inhibitor,CHEMBL413,CHEMBL1902,P62942
184,INHIBITOR,Serine/threonine-protein kinase RAF inhibitor,CHEMBL1946170,CHEMBL1906,P04049
185,INHIBITOR,Serine/threonine-protein kinase RAF inhibitor,CHEMBL1200485,CHEMBL1906,P04049
186,INHIBITOR,Adenosine deaminase inhibitor,CHEMBL1580,CHEMBL1910,P00813
187,INHIBITOR,Succinate semialdehyde dehydrogenase inhibitor,CHEMBL433,CHEMBL1911,P51649
188,INHIBITOR,Succinate semialdehyde dehydrogenase inhibitor,CHEMBL109,CHEMBL1911,P51649
189,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1118,CHEMBL228,P31645
190,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1708,CHEMBL228,P31645
191,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1200322,CHEMBL228,P31645
192,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1200710,CHEMBL228,P31645
193,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1200781,CHEMBL228,P31645
194,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1409,CHEMBL228,P31645
195,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1709,CHEMBL228,P31645
196,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1201082,CHEMBL228,P31645
197,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1200798,CHEMBL228,P31645
198,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1201066,CHEMBL228,P31645
199,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1200964,CHEMBL228,P31645
200,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1113,CHEMBL228,P31645
201,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1200328,CHEMBL228,P31645
202,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1692,CHEMBL228,P31645
203,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1200492,CHEMBL228,P31645
204,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1201156,CHEMBL228,P31645
205,INHIBITOR,Serotonin transporter inhibitor,CHEMBL1200332,CHEMBL228,P31645
206,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor,CHEMBL1421,CHEMBL1913,P09619
207,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor,CHEMBL1200485,CHEMBL1913,P09619
208,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor,CHEMBL1642,CHEMBL1913,P09619
209,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,CHEMBL1715,CHEMBL235,P37231
210,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,CHEMBL843,CHEMBL235,P37231
211,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,CHEMBL408,CHEMBL235,P37231
212,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,CHEMBL704,CHEMBL235,P37231
213,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,CHEMBL457,CHEMBL239,Q07869
214,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,CHEMBL672,CHEMBL239,Q07869
215,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,CHEMBL565,CHEMBL239,Q07869
216,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,CHEMBL981,CHEMBL239,Q07869
217,INHIBITOR,Xanthine dehydrogenase inhibitor,CHEMBL1164729,CHEMBL1929,P47989
218,INHIBITOR,Xanthine dehydrogenase inhibitor,CHEMBL1467,CHEMBL1929,P47989
219,INHIBITOR,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,CHEMBL1465,CHEMBL1930,Q9BQB6
220,INHIBITOR,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,CHEMBL711,CHEMBL1930,Q9BQB6
221,INHIBITOR,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,CHEMBL1466,CHEMBL1930,Q9BQB6
222,INHIBITOR,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,CHEMBL1200879,CHEMBL1930,Q9BQB6
223,INHIBITOR,Aldehyde dehydrogenase inhibitor,CHEMBL964,CHEMBL1935,P05091
224,INHIBITOR,Stem cell growth factor receptor inhibitor,CHEMBL1421,CHEMBL1936,P10721
225,INHIBITOR,Stem cell growth factor receptor inhibitor,CHEMBL1946170,CHEMBL1936,P10721
226,INHIBITOR,Stem cell growth factor receptor inhibitor,CHEMBL1200485,CHEMBL1936,P10721
227,INHIBITOR,Stem cell growth factor receptor inhibitor,CHEMBL1567,CHEMBL1936,P10721
228,INHIBITOR,Stem cell growth factor receptor inhibitor,CHEMBL1642,CHEMBL1936,P10721
229,ANTAGONIST,C-C chemokine receptor type 5 antagonist,CHEMBL1201187,CHEMBL274,P51681
230,INHIBITOR,Dihydrofolate reductase inhibitor,CHEMBL36,CHEMBL1939,P13922
231,ANTAGONIST,Histamine H2 receptor antagonist,CHEMBL902,CHEMBL1941,P25021
232,AGONIST,Histamine H2 receptor agonist,CHEMBL1689,CHEMBL1941,P25021
233,INHIBITOR,Dipeptidyl peptidase IV inhibitor,CHEMBL237500,CHEMBL284,P27487
234,INHIBITOR,Dipeptidyl peptidase IV inhibitor,CHEMBL1201743,CHEMBL284,P27487
235,PARTIAL AGONIST,Serotonin 1a (5-HT1a) receptor partial agonist,CHEMBL1200399,CHEMBL214,P08908
236,PARTIAL AGONIST,Serotonin 1a (5-HT1a) receptor partial agonist,CHEMBL1112,CHEMBL214,P08908
237,INHIBITOR,Thymidylate synthase inhibitor,CHEMBL917,CHEMBL1952,P04818
238,INHIBITOR,Thymidylate synthase inhibitor,CHEMBL2360464,CHEMBL1952,P04818
239,INHIBITOR,Thymidylate synthase inhibitor,CHEMBL185,CHEMBL1952,P04818
240,INHIBITOR,Dihydroorotate dehydrogenase inhibitor,CHEMBL960,CHEMBL1966,Q02127
241,INHIBITOR,Dihydroorotate dehydrogenase inhibitor,CHEMBL973,CHEMBL1966,Q02127
242,BLOCKER,HERG blocker,CHEMBL473,CHEMBL240,Q12809
243,BLOCKER,HERG blocker,CHEMBL1083993,CHEMBL240,Q12809
244,BLOCKER,HERG blocker,CHEMBL1700,CHEMBL240,Q12809
245,ANTAGONIST,Glutamate [NMDA] receptor subunit epsilon 1 antagonist,CHEMBL1256818,CHEMBL1972,Q12879
246,INHIBITOR,Tyrosinase inhibitor,CHEMBL1388,CHEMBL1973,P14679
247,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,CHEMBL1200485,CHEMBL1974,P36888
248,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,CHEMBL1567,CHEMBL1974,P36888
249,AGONIST,Vitamin D receptor agonist,CHEMBL1042,CHEMBL1977,P11473
250,AGONIST,Vitamin D receptor agonist,CHEMBL1536,CHEMBL1977,P11473
251,AGONIST,Vitamin D receptor agonist,CHEMBL1200666,CHEMBL1977,P11473
252,AGONIST,Vitamin D receptor agonist,CHEMBL846,CHEMBL1977,P11473
253,INHIBITOR,Cytochrome P450 19A1 inhibitor,CHEMBL1571,CHEMBL1978,P11511
254,INHIBITOR,Cytochrome P450 19A1 inhibitor,CHEMBL1399,CHEMBL1978,P11511
255,INHIBITOR,Cytochrome P450 19A1 inhibitor,CHEMBL1444,CHEMBL1978,P11511
256,INHIBITOR,Cytochrome P450 19A1 inhibitor,CHEMBL1200374,CHEMBL1978,P11511
257,INHIBITOR,Cytochrome P450 19A1 inhibitor,CHEMBL488,CHEMBL1978,P11511
258,BLOCKER,Sodium channel protein type V alpha subunit blocker,CHEMBL1200822,CHEMBL1980,Q14524
259,BLOCKER,Sodium channel protein type V alpha subunit blocker,CHEMBL1200612,CHEMBL1980,Q14524
260,BLOCKER,Sodium channel protein type V alpha subunit blocker,CHEMBL1404,CHEMBL1980,Q14524
261,INHIBITOR,Isoleucyl-tRNA synthetase inhibitor,CHEMBL719,CHEMBL1982,P41972
262,AGONIST,Serotonin 1d (5-HT1d) receptor agonist,CHEMBL1200517,CHEMBL1983,P28221
263,AGONIST,Serotonin 1d (5-HT1d) receptor agonist,CHEMBL2448612,CHEMBL1983,P28221
264,AGONIST,Serotonin 1d (5-HT1d) receptor agonist,CHEMBL1185,CHEMBL1983,P28221
265,AGONIST,Serotonin 1d (5-HT1d) receptor agonist,CHEMBL1201150,CHEMBL1983,P28221
266,AGONIST,Serotonin 1d (5-HT1d) receptor agonist,CHEMBL128,CHEMBL1983,P28221
267,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,CHEMBL831,CHEMBL224,P28223
268,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,CHEMBL908,CHEMBL224,P28223
269,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,CHEMBL1713,CHEMBL224,P28223
